시군구명,단속구분,단속년월,단속동,단속건수,단속원금
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,연무동,1,40000
장안구청,보행,2021-01,연무동,2,80000
장안구청,보행,2021-01,연무동,1,40000
장안구청,보행,2021-01,연무동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,4,160000
장안구청,보행,2021-01,율전동,1,40000
장안구청,보행,2021-01,율전동,1,40000
장안구청,보행,2021-01,율전동,1,50000
장안구청,보행,2021-01,율전동,1,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,50000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,파장동,1,40000
장안구청,보행,2021-01,파장동,3,120000
장안구청,보행,2021-01,파장동,1,40000
장안구청,보행,2021-01,파장동,1,40000
장안구청,보행,2021-01,파장동,1,40000
장안구청,보행,2021-01,파장동,5,200000
장안구청,보행,2021-01,파장동,3,120000
장안구청,보행,2021-01,파장동,1,40000
장안구청,보행,2021-01,파장동,1,80000
장안구청,보행,2021-01,파장동,1,40000
장안구청,보행,2021-01,파장동,1,40000
장안구청,보행,2021-01,파장동,1,40000
장안구청,고정형,2021-01,상광교동,72,2770000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,주민신고제,2021-01,송죽동,2,160000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,주민신고제,2021-01,송죽동,1,80000
장안구청,주민신고제,2021-01,송죽동,1,80000
장안구청,주민신고제,2021-01,송죽동,1,80000
장안구청,주민신고제,2021-01,송죽동,1,80000
장안구청,보행,2021-01,송죽동,2,80000
장안구청,보행,2021-01,송죽동,5,200000
장안구청,주민신고제,2021-01,송죽동,1,80000
장안구청,보행,2021-01,송죽동,1,90000
장안구청,보행,2021-01,송죽동,8,320000
장안구청,주민신고제,2021-01,송죽동,1,80000
장안구청,보행,2021-01,송죽동,13,520000
장안구청,주민신고제,2021-01,송죽동,9,720000
장안구청,보행,2021-01,송죽동,16,640000
장안구청,주민신고제,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,주민신고제,2021-01,송죽동,9,680000
장안구청,보행,2021-01,송죽동,4,200000
장안구청,주민신고제,2021-01,송죽동,11,800000
장안구청,주민신고제,2021-01,송죽동,1,80000
장안구청,보행,2021-01,송죽동,1,80000
장안구청,주민신고제,2021-01,송죽동,2,160000
장안구청,보행,2021-01,송죽동,1,80000
장안구청,주민신고제,2021-01,송죽동,6,480000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,5,200000
장안구청,주민신고제,2021-01,송죽동,3,240000
장안구청,보행,2021-01,송죽동,2,80000
장안구청,보행,2021-01,송죽동,3,200000
장안구청,주민신고제,2021-01,송죽동,22,1600000
장안구청,주민신고제,2021-01,송죽동,1,80000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,주민신고제,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,보행,2021-01,송죽동,3,120000
장안구청,주민신고제,2021-01,송죽동,2,80000
장안구청,보행,2021-01,송죽동,1,40000
장안구청,주민신고제,2021-01,송죽동,1,40000
장안구청,고정형,2021-01,송죽동,224,8350000
장안구청,주행형,2021-01,송죽동,1,40000
장안구청,주행형,2021-01,송죽동,2,80000
장안구청,주행형,2021-01,송죽동,7,240000
장안구청,주행형,2021-01,송죽동,7,240000
장안구청,주행형,2021-01,송죽동,10,410000
장안구청,주행형,2021-01,송죽동,4,160000
장안구청,주행형,2021-01,송죽동,6,160000
장안구청,주행형,2021-01,송죽동,9,360000
장안구청,주행형,2021-01,송죽동,6,240000
장안구청,주행형,2021-01,송죽동,5,160000
장안구청,주행형,2021-01,송죽동,4,160000
장안구청,주행형,2021-01,송죽동,1,50000
장안구청,주행형,2021-01,송죽동,1,40000
장안구청,주행형,2021-01,송죽동,22,910000
장안구청,고정형,2021-01,송죽동,89,4730000
장안구청,고정형,2021-01,송죽동,126,4680000
장안구청,주행형,2021-01,송죽동,3,120000
장안구청,주행형,2021-01,송죽동,1,40000
장안구청,고정형,2021-01,송죽동,2,80000
장안구청,주행형,2021-01,송죽동,10,410000
장안구청,주행형,2021-01,송죽동,3,120000
장안구청,주행형,2021-01,송죽동,3,120000
장안구청,고정형,2021-01,송죽동,59,2210000
장안구청,보행,2021-01,연무동,1,40000
장안구청,보행,2021-01,연무동,1,40000
장안구청,주민신고제,2021-01,연무동,1,80000
장안구청,주민신고제,2021-01,연무동,1,80000
장안구청,주민신고제,2021-01,연무동,2,40000
장안구청,보행,2021-01,연무동,1,40000
장안구청,보행,2021-01,연무동,2,80000
장안구청,보행,2021-01,연무동,1,40000
장안구청,보행,2021-01,연무동,1,50000
장안구청,보행,2021-01,연무동,1,50000
장안구청,보행,2021-01,연무동,1,40000
장안구청,보행,2021-01,연무동,5,220000
장안구청,보행,2021-01,연무동,2,80000
장안구청,보행,2021-01,연무동,1,40000
장안구청,주민신고제,2021-01,연무동,2,120000
장안구청,보행,2021-01,연무동,4,160000
장안구청,보행,2021-01,연무동,2,80000
장안구청,주행형,2021-01,연무동,1,40000
장안구청,주행형,2021-01,연무동,14,600000
장안구청,주행형,2021-01,연무동,1,40000
장안구청,보행,2021-01,연무동,1,50000
장안구청,보행,2021-01,연무동,1,40000
장안구청,보행,2021-01,연무동,1,50000
장안구청,주행형,2021-01,연무동,1,40000
장안구청,주행형,2021-01,연무동,7,280000
장안구청,주행형,2021-01,연무동,52,2150000
장안구청,주행형,2021-01,연무동,2,40000
장안구청,주행형,2021-01,연무동,5,120000
장안구청,주행형,2021-01,연무동,1,40000
장안구청,주행형,2021-01,연무동,6,250000
장안구청,주행형,2021-01,연무동,1,40000
장안구청,주행형,2021-01,연무동,4,160000
장안구청,주행형,2021-01,연무동,5,160000
장안구청,주행형,2021-01,연무동,28,1080000
장안구청,고정형,2021-01,연무동,24,880000
장안구청,주행형,2021-01,연무동,150,5910000
장안구청,주행형,2021-01,연무동,10,410000
장안구청,주행형,2021-01,연무동,9,370000
장안구청,주행형,2021-01,연무동,65,2560000
장안구청,주행형,2021-01,연무동,3,120000
장안구청,주행형,2021-01,연무동,12,490000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,3,80000
장안구청,주민신고제,2021-01,영화동,2,160000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,주민신고제,2021-01,영화동,1,80000
장안구청,보행,2021-01,영화동,2,80000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,5,200000
장안구청,주민신고제,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,3,120000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,주민신고제,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,보행,2021-01,영화동,1,40000
장안구청,고정형,2021-01,영화동,2,80000
장안구청,주행형,2021-01,영화동,3,120000
장안구청,주행형,2021-01,영화동,16,570000
장안구청,주행형,2021-01,영화동,5,210000
장안구청,고정형,2021-01,영화동,4,120000
장안구청,주행형,2021-01,영화동,1,40000
장안구청,주행형,2021-01,영화동,5,200000
장안구청,주행형,2021-01,영화동,1,40000
장안구청,주행형,2021-01,영화동,8,320000
장안구청,주행형,2021-01,영화동,1,40000
장안구청,주행형,2021-01,영화동,58,2230000
장안구청,주행형,2021-01,영화동,13,530000
장안구청,주행형,2021-01,영화동,7,280000
장안구청,주행형,2021-01,영화동,40,1610000
장안구청,주행형,2021-01,영화동,74,5000000
장안구청,주행형,2021-01,영화동,6,250000
장안구청,주행형,2021-01,영화동,3,160000
장안구청,고정형,2021-01,영화동,7,290000
장안구청,주행형,2021-01,영화동,8,320000
장안구청,주행형,2021-01,영화동,4,160000
장안구청,주행형,2021-01,영화동,4,280000
장안구청,주행형,2021-01,영화동,9,450000
장안구청,고정형,2021-01,영화동,61,2310000
장안구청,고정형,2021-01,영화동,22,900000
장안구청,주행형,2021-01,영화동,1,40000
장안구청,주행형,2021-01,영화동,1,40000
장안구청,주행형,2021-01,영화동,16,650000
장안구청,주행형,2021-01,영화동,10,400000
장안구청,주행형,2021-01,영화동,12,480000
장안구청,주행형,2021-01,영화동,14,440000
장안구청,주행형,2021-01,영화동,6,240000
장안구청,주행형,2021-01,영화동,1,50000
장안구청,주행형,2021-01,영화동,10,410000
장안구청,주행형,2021-01,영화동,36,1500000
장안구청,주행형,2021-01,영화동,1,40000
장안구청,주행형,2021-01,영화동,45,1690000
장안구청,주행형,2021-01,영화동,68,2780000
장안구청,주행형,2021-01,영화동,2,90000
장안구청,주행형,2021-01,영화동,11,440000
장안구청,주행형,2021-01,영화동,12,480000
장안구청,고정형,2021-01,영화동,42,1720000
장안구청,보행,2021-01,율전동,2,80000
장안구청,보행,2021-01,율전동,2,80000
장안구청,보행,2021-01,율전동,1,40000
장안구청,보행,2021-01,율전동,1,80000
장안구청,보행,2021-01,율전동,2,80000
장안구청,보행,2021-01,율전동,1,40000
장안구청,보행,2021-01,율전동,2,40000
장안구청,보행,2021-01,율전동,1,40000
장안구청,주민신고제,2021-01,율전동,1,40000
장안구청,보행,2021-01,율전동,2,90000
장안구청,보행,2021-01,율전동,1,40000
장안구청,보행,2021-01,율전동,3,120000
장안구청,보행,2021-01,율전동,3,120000
장안구청,보행,2021-01,율전동,3,120000
장안구청,보행,2021-01,율전동,1,40000
장안구청,보행,2021-01,율전동,3,80000
장안구청,보행,2021-01,율전동,3,120000
장안구청,보행,2021-01,율전동,8,240000
장안구청,보행,2021-01,율전동,1,40000
장안구청,고정형,2021-01,율전동,36,1450000
장안구청,주행형,2021-01,율전동,18,810000
장안구청,주행형,2021-01,율전동,25,1000000
장안구청,주행형,2021-01,율전동,12,400000
장안구청,주행형,2021-01,율전동,14,770000
장안구청,주행형,2021-01,율전동,2,120000
장안구청,주행형,2021-01,율전동,3,200000
장안구청,고정형,2021-01,율전동,17,680000
장안구청,고정형,2021-01,율전동,2,80000
장안구청,주행형,2021-01,율전동,1,50000
장안구청,주행형,2021-01,율전동,1,40000
장안구청,주행형,2021-01,율전동,10,720000
장안구청,주행형,2021-01,율전동,4,170000
장안구청,주행형,2021-01,율전동,11,440000
장안구청,주행형,2021-01,율전동,6,240000
장안구청,주행형,2021-01,율전동,2,80000
장안구청,주행형,2021-01,율전동,3,120000
장안구청,주행형,2021-01,율전동,7,280000
장안구청,주행형,2021-01,율전동,7,280000
장안구청,주행형,2021-01,율전동,3,120000
장안구청,주행형,2021-01,율전동,3,160000
장안구청,주행형,2021-01,율전동,18,640000
장안구청,주행형,2021-01,율전동,1,40000
장안구청,주행형,2021-01,율전동,22,1640000
장안구청,보행,2021-01,율전동,2,100000
장안구청,고정형,2021-01,율전동,39,1440000
장안구청,주행형,2021-01,율전동,5,200000
장안구청,주행형,2021-01,율전동,15,560000
장안구청,주행형,2021-01,율전동,36,1530000
장안구청,주행형,2021-01,율전동,15,680000
장안구청,주행형,2021-01,율전동,1,40000
장안구청,주행형,2021-01,율전동,1,40000
장안구청,고정형,2021-01,율전동,114,4200000
장안구청,고정형,2021-01,율전동,32,1200000
장안구청,주행형,2021-01,율전동,11,510000
장안구청,주행형,2021-01,율전동,2,80000
장안구청,주행형,2021-01,율전동,55,2200000
장안구청,주행형,2021-01,율전동,2,80000
장안구청,주행형,2021-01,율전동,2,40000
장안구청,보행,2021-01,이목동,1,40000
장안구청,보행,2021-01,이목동,1,40000
장안구청,주행형,2021-01,이목동,1,40000
장안구청,주행형,2021-01,이목동,9,360000
장안구청,주행형,2021-01,이목동,21,770000
장안구청,주행형,2021-01,이목동,17,670000
장안구청,주행형,2021-01,이목동,4,130000
장안구청,고정형,2021-01,정자1동,73,2670000
장안구청,고정형,2021-01,정자1동,14,520000
장안구청,고정형,2021-01,정자2동,12,480000
장안구청,고정형,2021-01,정자2동,16,600000
장안구청,고정형,2021-01,정자3동,45,1690000
장안구청,고정형,2021-01,정자3동,28,1020000
장안구청,고정형,2021-01,정자3동,15,600000
장안구청,고정형,2021-01,정자3동,9,330000
장안구청,주민신고제,2021-01,정자동,1,80000
장안구청,주민신고제,2021-01,정자동,1,40000
장안구청,주민신고제,2021-01,정자동,2,160000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,2,80000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,2,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,80000
장안구청,보행,2021-01,정자동,16,600000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,80000
장안구청,보행,2021-01,정자동,2,80000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,2,80000
장안구청,주민신고제,2021-01,정자동,2,170000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,2,80000
장안구청,보행,2021-01,정자동,1,40000
장안구청,주민신고제,2021-01,정자동,1,80000
장안구청,주민신고제,2021-01,정자동,2,40000
장안구청,보행,2021-01,정자동,2,80000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,2,80000
장안구청,보행,2021-01,정자동,2,80000
장안구청,주민신고제,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,4,120000
장안구청,주민신고제,2021-01,정자동,4,320000
장안구청,보행,2021-01,정자동,3,90000
장안구청,보행,2021-01,정자동,1,40000
장안구청,주민신고제,2021-01,정자동,2,80000
장안구청,보행,2021-01,정자동,12,490000
장안구청,주민신고제,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,6,200000
장안구청,보행,2021-01,정자동,3,120000
장안구청,보행,2021-01,정자동,2,80000
장안구청,주민신고제,2021-01,정자동,1,80000
장안구청,보행,2021-01,정자동,2,80000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,40000
장안구청,보행,2021-01,정자동,1,50000
장안구청,보행,2021-01,정자동,2,80000
장안구청,주민신고제,2021-01,정자동,1,80000
장안구청,보행,2021-01,정자동,1,50000
장안구청,보행,2021-01,정자동,1,40000
장안구청,고정형,2021-01,정자동,24,1690000
장안구청,고정형,2021-01,정자동,32,1610000
장안구청,주행형,2021-01,정자동,8,240000
장안구청,고정형,2021-01,정자동,35,1750000
장안구청,주행형,2021-01,정자동,15,580000
장안구청,고정형,2021-01,정자동,6,460000
장안구청,주행형,2021-01,정자동,1,40000
장안구청,주행형,2021-01,정자동,7,250000
장안구청,주행형,2021-01,정자동,1,40000
장안구청,고정형,2021-01,정자동,10,560000
장안구청,주행형,2021-01,정자동,13,520000
장안구청,주행형,2021-01,정자동,14,570000
장안구청,주행형,2021-01,정자동,4,160000
장안구청,주행형,2021-01,정자동,5,200000
장안구청,주행형,2021-01,정자동,1,40000
장안구청,주행형,2021-01,정자동,2,80000
장안구청,주행형,2021-01,정자동,17,680000
장안구청,주행형,2021-01,정자동,5,200000
장안구청,주행형,2021-01,정자동,58,2230000
장안구청,주행형,2021-01,정자동,2,80000
장안구청,주행형,2021-01,정자동,12,400000
장안구청,고정형,2021-01,정자동,26,760000
장안구청,주행형,2021-01,정자동,2,80000
장안구청,주행형,2021-01,정자동,2,80000
장안구청,주행형,2021-01,정자동,1,40000
장안구청,주행형,2021-01,정자동,69,2750000
장안구청,주행형,2021-01,정자동,9,360000
장안구청,주행형,2021-01,정자동,1,50000
장안구청,주행형,2021-01,정자동,16,580000
장안구청,주행형,2021-01,정자동,1,40000
장안구청,주행형,2021-01,정자동,1,40000
장안구청,주행형,2021-01,정자동,1,40000
장안구청,주행형,2021-01,정자동,4,160000
장안구청,주행형,2021-01,정자동,14,1140000
장안구청,주행형,2021-01,정자동,7,280000
장안구청,주행형,2021-01,정자동,19,760000
장안구청,주행형,2021-01,정자동,1,40000
장안구청,주행형,2021-01,정자동,2,80000
장안구청,주행형,2021-01,정자동,3,130000
장안구청,주행형,2021-01,정자동,3,120000
장안구청,고정형,2021-01,조원2동,15,520000
장안구청,보행,2021-01,조원동,2,80000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,2,80000
장안구청,보행,2021-01,조원동,1,50000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,3,80000
장안구청,보행,2021-01,조원동,2,80000
장안구청,보행,2021-01,조원동,1,40000
장안구청,주민신고제,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,2,80000
장안구청,보행,2021-01,조원동,2,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,4,80000
장안구청,주민신고제,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,2,40000
장안구청,보행,2021-01,조원동,1,80000
장안구청,보행,2021-01,조원동,1,40000
장안구청,주민신고제,2021-01,조원동,2,160000
장안구청,보행,2021-01,조원동,4,160000
장안구청,보행,2021-01,조원동,7,280000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,6,200000
장안구청,주민신고제,2021-01,조원동,1,50000
장안구청,보행,2021-01,조원동,3,120000
장안구청,보행,2021-01,조원동,3,120000
장안구청,보행,2021-01,조원동,8,370000
장안구청,주민신고제,2021-01,조원동,2,120000
장안구청,보행,2021-01,조원동,2,40000
장안구청,보행,2021-01,조원동,6,250000
장안구청,주민신고제,2021-01,조원동,2,160000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,2,80000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,2,80000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,29,1080000
장안구청,주민신고제,2021-01,조원동,6,480000
장안구청,보행,2021-01,조원동,3,80000
장안구청,보행,2021-01,조원동,1,40000
장안구청,보행,2021-01,조원동,1,40000
장안구청,주행형,2021-01,조원동,1,40000
장안구청,주행형,2021-01,조원동,6,440000
장안구청,주행형,2021-01,조원동,24,1000000
장안구청,주행형,2021-01,조원동,18,980000
장안구청,주행형,2021-01,조원동,20,770000
장안구청,주행형,2021-01,조원동,17,640000
장안구청,주행형,2021-01,조원동,3,80000
장안구청,주행형,2021-01,조원동,33,1270000
장안구청,고정형,2021-01,조원동,11,450000
장안구청,주행형,2021-01,조원동,3,130000
장안구청,주행형,2021-01,조원동,159,6250000
장안구청,주행형,2021-01,조원동,41,1480000
장안구청,주행형,2021-01,조원동,4,160000
장안구청,주행형,2021-01,조원동,3,200000
장안구청,주행형,2021-01,조원동,5,200000
장안구청,주행형,2021-01,조원동,24,970000
장안구청,주행형,2021-01,조원동,10,400000
장안구청,주행형,2021-01,조원동,3,120000
장안구청,주행형,2021-01,조원동,17,700000
장안구청,고정형,2021-01,조원동,12,610000
장안구청,주행형,2021-01,조원동,8,450000
장안구청,주행형,2021-01,조원동,4,320000
장안구청,주행형,2021-01,조원동,5,200000
장안구청,고정형,2021-01,조원동,127,8580000
장안구청,고정형,2021-01,조원동,148,5750000
장안구청,주행형,2021-01,조원동,71,2750000
장안구청,주행형,2021-01,조원동,4,160000
장안구청,주행형,2021-01,조원동,1,40000
장안구청,주행형,2021-01,조원동,1,40000
장안구청,주행형,2021-01,조원동,1,40000
장안구청,주행형,2021-01,조원동,1,40000
장안구청,주행형,2021-01,조원동,4,160000
장안구청,주행형,2021-01,조원동,1,50000
장안구청,주행형,2021-01,조원동,3,130000
장안구청,주행형,2021-01,조원동,11,410000
장안구청,주행형,2021-01,조원동,2,80000
장안구청,보행,2021-01,천천동,2,80000
장안구청,보행,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,2,80000
장안구청,보행,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,8,320000
장안구청,주민신고제,2021-01,천천동,3,240000
장안구청,보행,2021-01,천천동,1,40000
장안구청,주민신고제,2021-01,천천동,1,80000
장안구청,주민신고제,2021-01,천천동,1,80000
장안구청,보행,2021-01,천천동,3,120000
장안구청,주민신고제,2021-01,천천동,1,80000
장안구청,보행,2021-01,천천동,2,40000
장안구청,보행,2021-01,천천동,5,200000
장안구청,보행,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,83,3120000
장안구청,주민신고제,2021-01,천천동,4,120000
장안구청,보행,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,20,760000
장안구청,주민신고제,2021-01,천천동,2,80000
장안구청,보행,2021-01,천천동,34,1240000
장안구청,주민신고제,2021-01,천천동,2,40000
장안구청,보행,2021-01,천천동,2,80000
장안구청,보행,2021-01,천천동,2,80000
장안구청,보행,2021-01,천천동,2,40000
장안구청,주민신고제,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,1,40000
장안구청,주민신고제,2021-01,천천동,1,40000
장안구청,보행,2021-01,천천동,1,40000
장안구청,주행형,2021-01,천천동,2,90000
장안구청,주행형,2021-01,천천동,1,40000
장안구청,고정형,2021-01,천천동,1,40000
장안구청,주행형,2021-01,천천동,7,280000
장안구청,주행형,2021-01,천천동,183,7100000
장안구청,주행형,2021-01,천천동,99,3730000
장안구청,고정형,2021-01,천천동,124,4680000
장안구청,고정형,2021-01,천천동,25,1040000
장안구청,주행형,2021-01,천천동,13,620000
장안구청,주행형,2021-01,천천동,3,120000
장안구청,주행형,2021-01,천천동,7,240000
장안구청,보행,2021-01,천천동,1,40000
장안구청,주행형,2021-01,천천동,1,40000
장안구청,주행형,2021-01,천천동,1,40000
장안구청,주행형,2021-01,천천동,27,1070000
장안구청,주행형,2021-01,천천동,4,200000
장안구청,고정형,2021-01,천천동,33,1320000
장안구청,주행형,2021-01,천천동,3,120000
장안구청,주행형,2021-01,천천동,1,40000
장안구청,주행형,2021-01,천천동,26,970000
장안구청,주행형,2021-01,천천동,28,1340000
장안구청,주행형,2021-01,천천동,8,670000
장안구청,주행형,2021-01,천천동,28,1120000
장안구청,주행형,2021-01,천천동,1,40000
장안구청,보행,2021-01,파장동,1,40000
장안구청,보행,2021-01,파장동,2,40000
장안구청,보행,2021-01,파장동,2,40000
장안구청,보행,2021-01,파장동,1,40000
장안구청,보행,2021-01,파장동,2,40000
장안구청,보행,2021-01,파장동,10,360000
장안구청,주민신고제,2021-01,파장동,1,40000
장안구청,보행,2021-01,파장동,1,40000
장안구청,주민신고제,2021-01,파장동,1,40000
장안구청,보행,2021-01,파장동,4,130000
장안구청,주민신고제,2021-01,파장동,2,40000
장안구청,보행,2021-01,파장동,4,120000
장안구청,주행형,2021-01,파장동,11,450000
장안구청,주행형,2021-01,파장동,1,40000
장안구청,주행형,2021-01,파장동,3,80000
장안구청,주행형,2021-01,파장동,45,1720000
장안구청,주행형,2021-01,파장동,1,80000
장안구청,주행형,2021-01,파장동,16,670000
장안구청,고정형,2021-01,파장동,7,280000
장안구청,주행형,2021-01,파장동,3,120000
장안구청,주행형,2021-01,파장동,7,280000
장안구청,주행형,2021-01,파장동,1,40000
장안구청,주행형,2021-01,파장동,1,40000
장안구청,주행형,2021-01,파장동,1,50000
장안구청,주행형,2021-01,파장동,21,800000
장안구청,주행형,2021-01,파장동,3,120000
장안구청,주행형,2021-01,파장동,3,120000
장안구청,주행형,2021-01,파장동,1,40000
장안구청,주행형,2021-01,파장동,4,160000
장안구청,주행형,2021-01,파장동,13,520000
장안구청,주행형,2021-01,파장동,1,40000
장안구청,주행형,2021-01,파장동,12,580000
장안구청,주행형,2021-01,파장동,4,120000
장안구청,주행형,2021-01,파장동,1,40000
장안구청,주행형,2021-01,파장동,14,570000
장안구청,주행형,2021-01,파장동,14,920000
장안구청,주행형,2021-01,파장동,5,200000
장안구청,주행형,2021-01,하광교동,13,480000
장안구청,주행형,2021-01,하광교동,1,40000
장안구청,주행형,2021-01,하광교동,1,40000
장안구청,고정형,2021-01,하광교동,43,1650000
장안구청,주행형,2021-01,하광교동,1,40000
장안구청,보행,2021-02,송죽동,1,40000
장안구청,보행,2021-02,송죽동,2,90000
장안구청,보행,2021-02,송죽동,1,40000
장안구청,보행,2021-02,연무동,1,40000
장안구청,보행,2021-02,영화동,2,40000
장안구청,보행,2021-02,영화동,2,80000
장안구청,보행,2021-02,율전동,1,40000
장안구청,보행,2021-02,이목동,1,50000
장안구청,보행,2021-02,정자동,1,40000
장안구청,보행,2021-02,정자동,1,40000
장안구청,보행,2021-02,정자동,2,40000
장안구청,보행,2021-02,정자동,1,40000
장안구청,보행,2021-02,정자동,1,40000
장안구청,보행,2021-02,정자동,3,130000
장안구청,보행,2021-02,조원동,2,40000
장안구청,보행,2021-02,조원동,1,40000
장안구청,보행,2021-02,조원동,1,40000
장안구청,보행,2021-02,조원동,1,40000
장안구청,보행,2021-02,조원동,1,40000
장안구청,보행,2021-02,천천동,1,0
장안구청,보행,2021-02,파장동,4,160000
장안구청,보행,2021-02,파장동,1,40000
장안구청,고정형,2021-02,상광교동,53,2130000
장안구청,보행,2021-02,송죽동,1,40000
장안구청,보행,2021-02,송죽동,2,80000
장안구청,보행,2021-02,송죽동,3,120000
장안구청,보행,2021-02,송죽동,1,40000
장안구청,보행,2021-02,송죽동,7,280000
장안구청,보행,2021-02,송죽동,1,40000
장안구청,보행,2021-02,송죽동,1,40000
장안구청,보행,2021-02,송죽동,2,90000
장안구청,주민신고제,2021-02,송죽동,2,160000
장안구청,보행,2021-02,송죽동,3,120000
장안구청,주민신고제,2021-02,송죽동,1,80000
장안구청,주민신고제,2021-02,송죽동,1,80000
장안구청,보행,2021-02,송죽동,1,40000
장안구청,보행,2021-02,송죽동,4,160000
장안구청,보행,2021-02,송죽동,1,40000
장안구청,보행,2021-02,송죽동,1,40000
장안구청,보행,2021-02,송죽동,1,40000
장안구청,보행,2021-02,송죽동,1,40000
장안구청,보행,2021-02,송죽동,6,240000
장안구청,보행,2021-02,송죽동,1,40000
